Time	Cache_id	cache_time	no	cache_next	cache_occurance
55:46.4	3	147601	820	821	109
58:46.4	3	147781	821	825	110
01:46.4	11	147961	822	827	22
04:46.4	2	148141	823	824	244
07:46.4	2	148321	824	826	245
10:46.4	3	148501	825	828	111
13:46.4	2	148681	826	832	246
16:46.4	11	148861	827	834	23
19:46.4	3	149041	828	830	112
22:46.4	4	149221	829	850	61
25:46.4	3	149401	830	831	113
28:46.4	3	149581	831	836	114
31:46.4	2	149761	832	838	247
34:46.4	14	149941	833	904	20
37:46.4	11	150121	834	905	24
40:46.4	7	150301	835	844	37
43:46.4	3	150481	836	842	115
46:46.4	10	150661	837	855	35
49:46.4	2	150841	838	839	248
52:46.4	2	151021	839	840	249
55:46.4	2	151201	840	841	250
58:46.4	2	151381	841	846	251
01:46.4	3	151561	842	862	116
04:46.4	18	151741	843	864	20
07:46.4	7	151921	844	845	38
10:46.4	7	152101	845	853	39
13:46.4	2	152281	846	849	252
16:46.4	6	152461	847	895	39
19:46.4	8	152641	848	872	27
22:46.4	2	152821	849	854	253
25:46.4	4	153001	850	863	62
28:46.4	15	153181	851	913	27
31:46.4	5	153361	852	858	49
34:46.4	7	153541	853	865	40
37:46.4	2	153721	854	859	254
40:46.4	10	153901	855	856	36
43:46.4	10	154081	856	860	37
46:46.4	12	154261	857	868	15
49:46.4	5	154441	858	903	50
52:46.4	2	154621	859	861	255
55:46.4	10	154801	860	890	38
58:46.4	2	154981	861	869	256
01:46.4	3	155161	862	866	117
04:46.4	4	155341	863	870	63
07:46.4	18	155521	864	894	21
10:46.4	7	155701	865	918	41
13:46.4	3	155881	866	877	118
16:46.4	20	156061	867	887	17
19:46.4	12	156241	868	958	16
22:46.4	2	156421	869	871	257
25:46.4	4	156601	870	879	64
28:46.4	2	156781	871	873	258
31:46.4	8	156961	872	891	28
34:46.4	2	157141	873	874	259
37:46.4	2	157321	874	875	260
40:46.4	2	157501	875	876	261
43:46.4	2	157681	876	884	262
46:46.4	3	157861	877	878	119
49:46.4	3	158041	878	883	120
52:46.4	4	158221	879	880	65
55:46.4	4	158401	880	882	66
58:46.4	9	158581	881	912	25
01:46.4	4	158761	882	892	67
04:46.4	3	158941	883	893	121
07:46.4	2	159121	884	886	263
10:46.4	16	159301	885	888	16
13:46.4	2	159481	886	889	264
16:46.4	20	159661	887	1053	18
19:46.4	16	159841	888	914	17
22:46.4	2	160021	889	897	265
25:46.4	10	160201	890	909	39
28:46.4	8	160381	891	1013	29
31:46.4	4	160561	892	916	68
34:46.4	3	160741	893	896	122
37:46.4	18	160921	894	978	22
40:46.4	6	161101	895	926	40
43:46.4	3	161281	896	898	123
46:46.4	2	161461	897	900	266
49:46.4	3	161641	898	899	124
52:46.4	3	161821	899	902	125
55:46.4	2	162001	900	901	267
58:46.4	2	162181	901	910	268
01:46.4	3	162361	902	908	126
04:46.4	5	162541	903	906	51
07:46.4	14	162721	904	907	21
10:46.4	11	162901	905	939	25
13:46.4	5	163081	906	923	52
16:46.4	14	163261	907	1002	22
19:46.4	3	163441	908	919	127
22:46.4	10	163621	909	942	40
25:46.4	2	163801	910	911	269
28:46.4	2	163981	911	915	270
31:46.4	9	164161	912	931	26
34:46.4	15	164341	913	932	28
37:46.4	16	164521	914	940	18
40:46.4	2	164701	915	921	271
43:46.4	4	164881	916	925	69
46:46.4	19	165061	917	920	17
49:46.4	7	165241	918	982	42
52:46.4	3	165421	919	936	128
55:46.4	19	165601	920	924	18
58:46.4	2	165781	921	922	272
01:46.4	2	165961	922	927	273
04:46.4	5	166141	923	928	53
07:46.4	19	166321	924	935	19
10:46.4	4	166501	925	947	70
13:46.4	6	166681	926	929	41
16:46.4	2	166861	927	930	274
19:46.4	5	167041	928	941	54
22:46.4	6	167221	929	934	42
25:46.4	2	167401	930	933	275
28:46.4	9	167581	931	1017	27
31:46.4	15	167761	932	938	29
34:46.4	2	167941	933	944	276
37:46.4	6	168121	934	949	43
40:46.4	19	168301	935	1094	20
43:46.4	3	168481	936	937	129
46:46.4	3	168661	937	961	130
49:46.4	15	168841	938	1092	30
52:46.4	11	169021	939	996	26
55:46.4	16	169201	940	1037	19
58:46.4	5	169381	941	943	55
01:46.4	10	169561	942	950	41
04:46.4	5	169741	943	956	56
07:46.4	2	169921	944	945	277
10:46.4	2	170101	945	946	278
13:46.4	2	170281	946	948	279
16:46.4	4	170461	947	951	71
19:46.4	2	170641	948	953	280
22:46.4	6	170821	949	954	44
25:46.4	10	171001	950	955	42
28:46.4	4	171181	951	974	72
31:46.4	1	171361	952	983	20
34:46.4	2	171541	953	957	281
37:46.4	6	171721	954	975	45
40:46.4	10	171901	955	990	43
43:46.4	5	172081	956	964	57
46:46.4	2	172261	957	959	282
49:46.4	12	172441	958	991	17
52:46.4	2	172621	959	965	283
55:46.4	13	172801	960	967	22
58:46.4	3	172981	961	962	131
01:46.4	3	173161	962	966	132
04:46.4	17	173341	963	999	18
07:46.4	5	173521	964	977	58
10:46.4	2	173701	965	969	284
13:46.4	3	173881	966	968	133
16:46.4	13	174061	967	970	23
19:46.4	3	174241	968	971	134
22:46.4	2	174421	969	973	285
25:46.4	13	174601	970	989	24
28:46.4	3	174781	971	972	135
31:46.4	3	174961	972	976	136
34:46.4	2	175141	973	981	286
37:46.4	4	175321	974	986	73
40:46.4	6	175501	975	980	46
43:46.4	3	175681	976	988	137
46:46.4	5	175861	977	979	59
49:46.4	18	176041	978	1008	23
52:46.4	5	176221	979	984	60
55:46.4	6	176401	980	1004	47
58:46.4	2	176581	981	985	287
01:46.4	7	176761	982	1020	43
04:46.4	1	176941	983	1000	21
07:46.4	5	177121	984	1003	61
10:46.4	2	177301	985	987	288
13:46.4	4	177481	986	1006	74
16:46.4	2	177661	987	994	289
19:46.4	3	177841	988	992	138
22:46.4	13	178021	989	1012	25
25:46.4	10	178201	990	1027	44
28:46.4	12	178381	991	1018	18
31:46.4	3	178561	992	993	139
34:46.4	3	178741	993	998	140
37:46.4	2	178921	994	995	290
40:46.4	2	179101	995	997	291
43:46.4	11	179281	996	1014	27
46:46.4	2	179461	997	1007	292
49:46.4	3	179641	998	1001	141
52:46.4	17	179821	999	1009	19
55:46.4	1	180001	1000	1024	22
58:46.4	3	180181	1001	1011	142
01:46.4	14	180361	1002	1067	23
04:46.4	5	180541	1003	1005	62
07:46.4	6	180721	1004	1022	48
10:46.4	5	180901	1005	1039	63
13:46.4	4	181081	1006	1010	75
16:46.4	2	181261	1007	1016	293
19:46.4	18	181441	1008	1061	24
22:46.4	17	181621	1009	1045	20
25:46.4	4	181801	1010	1015	76
28:46.4	3	181981	1011	1023	143
31:46.4	13	182161	1012	1072	26
34:46.4	8	182341	1013	1025	30
37:46.4	11	182521	1014	1049	28
40:46.4	4	182701	1015	1021	77
43:46.4	2	182881	1016	1026	294
46:46.4	9	183061	1017	1019	28
49:46.4	12	183241	1018	1069	19
52:46.4	9	183421	1019	1275	29
55:46.4	7	183601	1020	1028	44
58:46.4	4	183781	1021	1032	78
01:46.4	6	183961	1022	1082	49
04:46.4	3	184141	1023	1043	144
07:46.4	1	184321	1024	1029	23
10:46.4	8	184501	1025	1035	31
13:46.4	2	184681	1026	1030	295
16:46.4	10	184861	1027	1074	45
19:46.4	7	185041	1028	1079	45
22:46.4	1	185221	1029	1052	24
25:46.4	2	185401	1030	1031	296
28:46.4	2	185581	1031	1033	297
31:46.4	4	185761	1032	1062	79
34:46.4	2	185941	1033	1034	298
37:46.4	2	186121	1034	1036	299
40:46.4	8	186301	1035	1042	32
43:46.4	2	186481	1036	1038	300
46:46.4	16	186661	1037	1088	20
49:46.4	2	186841	1038	1040	301
52:46.4	5	187021	1039	1054	64
55:46.4	2	187201	1040	1041	302
58:46.4	2	187381	1041	1044	303
01:46.4	8	187561	1042	1063	33
04:46.4	3	187741	1043	1046	145
07:46.4	2	187921	1044	1047	304
10:46.4	17	188101	1045	1090	21
13:46.4	3	188281	1046	1064	146
16:46.4	2	188461	1047	1048	305
19:46.4	2	188641	1048	1050	306
22:46.4	11	188821	1049	1121	29
25:46.4	2	189001	1050	1051	307
28:46.4	2	189181	1051	1056	308
31:46.4	1	189361	1052	1255	25
34:46.4	20	189541	1053	1055	19
37:46.4	5	189721	1054	1060	65
40:46.4	20	189901	1055	1057	20
43:46.4	2	190081	1056	1058	309
46:46.4	20	190261	1057	1104	21
49:46.4	2	190441	1058	1059	310
52:46.4	2	190621	1059	1068	311
55:46.4	5	190801	1060	1066	66
58:46.4	18	190981	1061	1077	25
01:46.4	4	191161	1062	1080	80
04:46.4	8	191341	1063	1071	34
07:46.4	3	191521	1064	1065	147
10:46.4	3	191701	1065	1083	148
13:46.4	5	191881	1066	1073	67
16:46.4	14	192061	1067	1107	24
19:46.4	2	192241	1068	1070	312
22:46.4	12	192421	1069	1087	20
25:46.4	2	192601	1070	1075	313
28:46.4	8	192781	1071	1102	35
31:46.4	13	192961	1072	1126	27
34:46.4	5	193141	1073	1125	68
37:46.4	10	193321	1074	1109	46
40:46.4	2	193501	1075	1076	314
43:46.4	2	193681	1076	1078	315
46:46.4	18	193861	1077	1119	26
49:46.4	2	194041	1078	1084	316
52:46.4	7	194221	1079	1101	46
55:46.4	4	194401	1080	1081	81
58:46.4	4	194581	1081	1086	82
01:46.4	6	194761	1082	1124	50
04:46.4	3	194941	1083	1097	149
07:46.4	2	195121	1084	1085	317
10:46.4	2	195301	1085	1089	318
13:46.4	4	195481	1086	1110	83
16:46.4	12	195661	1087	1098	21
19:46.4	16	195841	1088	1112	21
22:46.4	2	196021	1089	1091	319
25:46.4	17	196201	1090	1095	22
28:46.4	2	196381	1091	1093	320
31:46.4	15	196561	1092	1111	31
34:46.4	2	196741	1093	1096	321
37:46.4	19	196921	1094	1194	21
40:46.4	17	197101	1095	1145	23
43:46.4	2	197281	1096	1099	322
46:46.4	3	197461	1097	1108	150
49:46.4	12	197641	1098	1100	22
52:46.4	2	197821	1099	1103	323
55:46.4	12	198001	1100	1113	23
58:46.4	7	198181	1101	1151	47
01:46.4	8	198361	1102	1144	36
04:46.4	2	198541	1103	1105	324
07:46.4	20	198721	1104	1137	22
10:46.4	2	198901	1105	1106	325
13:46.4	2	199081	1106	1114	326
16:46.4	14	199261	1107	1117	25
19:46.4	3	199441	1108	1118	151
22:46.4	10	199621	1109	1178	47
25:46.4	4	199801	1110	1156	84
28:46.4	15	199981	1111	1131	32
31:46.4	16	200161	1112	1129	22
34:46.4	12	200341	1113	1116	24
37:46.4	2	200521	1114	1115	327
40:46.4	2	200701	1115	1120	328
43:46.4	12	200881	1116	1138	25
46:46.4	14	201061	1117	1186	26
49:46.4	3	201241	1118	1128	152
52:46.4	18	201421	1119	1185	27
55:46.4	2	201601	1120	1122	329
58:46.4	11	201781	1121	1123	30
01:46.4	2	201961	1122	1141	330
04:46.4	11	202141	1123	1135	31
07:46.4	6	202321	1124	1127	51
10:46.4	5	202501	1125	1130	69
13:46.4	13	202681	1126	1132	28
16:46.4	6	202861	1127	1133	52
19:46.4	3	203041	1128	1134	153
22:46.4	16	203221	1129	1202	23
25:46.4	5	203401	1130	1155	70
28:46.4	15	203581	1131	1149	33
31:46.4	13	203761	1132	1294	29
34:46.4	6	203941	1133	1140	53
37:46.4	3	204121	1134	1136	154
40:46.4	11	204301	1135	1153	32
43:46.4	3	204481	1136	1139	155
46:46.4	20	204661	1137	1205	23
49:46.4	12	204841	1138	1160	26
52:46.4	3	205021	1139	1146	156
55:46.4	6	205201	1140	1143	54
58:46.4	2	205381	1141	1142	331
01:46.4	2	205561	1142	1147	332
04:46.4	6	205741	1143	1173	55
07:46.4	8	205921	1144	1192	37
10:46.4	17	206101	1145	1148	24
13:46.4	3	206281	1146	1150	157
16:46.4	2	206461	1147	1152	333
19:46.4	17	206641	1148	1306	25
22:46.4	15	206821	1149	1159	34
25:46.4	3	207001	1150	1154	158
28:46.4	7	207181	1151	1161	48
31:46.4	2	207361	1152	1162	334
34:46.4	11	207541	1153	1198	33
37:46.4	3	207721	1154	1158	159
40:46.4	5	207901	1155	1182	71
43:46.4	4	208081	1156	1157	85
46:46.4	4	208261	1157	1167	86
49:46.4	3	208441	1158	1174	160
52:46.4	15	208621	1159	1164	35
55:46.4	12	208801	1160	1188	27
58:46.4	7	208981	1161	1166	49
01:46.4	2	209161	1162	1163	335
04:46.4	2	209341	1163	1168	336
07:46.4	15	209521	1164	1165	36
10:46.4	15	209701	1165	1172	37
13:46.4	7	209881	1166	1180	50
16:46.4	4	210061	1167	1169	87
19:46.4	2	210241	1168	1170	337
22:46.4	4	210421	1169	1171	88
25:46.4	2	210601	1170	1175	338
28:46.4	4	210781	1171	1177	89
31:46.4	15	210961	1172	1289	38
34:46.4	6	211141	1173	1187	56
37:46.4	3	211321	1174	1183	161
40:46.4	2	211501	1175	1176	339
43:46.4	2	211681	1176	1179	340
46:46.4	4	211861	1177	1190	90
49:46.4	10	212041	1178	1281	48
52:46.4	2	212221	1179	1184	341
55:46.4	7	212401	1180	1181	51
58:46.4	7	212581	1181	1273	52
01:46.4	5	212761	1182	1197	72
04:46.4	3	212941	1183	1204	162
07:46.4	2	213121	1184	1189	342
10:46.4	18	213301	1185	1217	28
13:46.4	14	213481	1186	1249	27
16:46.4	6	213661	1187	1195	57
19:46.4	12	213841	1188	1206	28
22:46.4	2	214021	1189	1191	343
25:46.4	4	214201	1190	1210	91
28:46.4	2	214381	1191	1193	344
31:46.4	8	214561	1192	1201	38
34:46.4	2	214741	1193	1196	345
37:46.4	19	214921	1194	1223	22
40:46.4	6	215101	1195	1203	58
43:46.4	2	215281	1196	1200	346
46:46.4	5	215461	1197	1199	73
49:46.4	11	215641	1198	1208	34
52:46.4	5	215821	1199	1218	74
55:46.4	2	216001	1200	1207	347
58:46.4	8	216181	1201	1220	39
01:46.4	16	216361	1202	1231	24
04:46.4	6	216541	1203	1257	59
07:46.4	3	216721	1204	1212	163
10:46.4	20	216901	1205	1250	24
13:46.4	12	217081	1206	1214	29
16:46.4	2	217261	1207	1209	348
19:46.4	11	217441	1208	1235	35
22:46.4	2	217621	1209	1211	349
25:46.4	4	217801	1210	1219	92
28:46.4	2	217981	1211	1213	350
31:46.4	3	218161	1212	1216	164
34:46.4	2	218341	1213	1215	351
37:46.4	12	218521	1214	1260	30
40:46.4	2	218701	1215	1225	352
43:46.4	3	218881	1216	1222	165
46:46.4	18	219061	1217	1264	29
49:46.4	5	219241	1218	1237	75
52:46.4	4	219421	1219	1221	93
55:46.4	8	219601	1220	1227	40
58:46.4	4	219781	1221	1240	94
01:46.4	3	219961	1222	1224	166
04:46.4	19	220141	1223	1243	23
07:46.4	3	220321	1224	1234	167
10:46.4	2	220501	1225	1226	353
13:46.4	2	220681	1226	1228	354
16:46.4	8	220861	1227	1258	41
19:46.4	2	221041	1228	1229	355
22:46.4	2	221221	1229	1230	356
25:46.4	2	221401	1230	1233	357
28:46.4	16	221581	1231	1232	25
31:46.4	16	221761	1232	1276	26
34:46.4	2	221941	1233	1238	358
37:46.4	3	222121	1234	1236	168
40:46.4	11	222301	1235	1239	36
43:46.4	3	222481	1236	1245	169
46:46.4	5	222661	1237	1241	76
49:46.4	2	222841	1238	1246	359
52:46.4	11	223021	1239	1301	37
55:46.4	4	223201	1240	1244	95
58:46.4	5	223381	1241	1242	77
01:46.4	5	223561	1242	1265	78
04:46.4	19	223741	1243	1377	24
07:46.4	4	223921	1244	1270	96
10:46.4	3	224101	1245	1247	170
13:46.4	2	224281	1246	1248	360
16:46.4	3	224461	1247	1263	171
19:46.4	2	224641	1248	1251	361
22:46.4	14	224821	1249	1259	28
25:46.4	20	225001	1250	1295	25
28:46.4	2	225181	1251	1252	362
31:46.4	2	225361	1252	1253	363
34:46.4	2	225541	1253	1254	364
37:46.4	2	225721	1254	1261	365
40:46.4	1	225901	1255	1256	26
43:46.4	1	226081	1256	1320	27
46:46.4	6	226261	1257	1272	60
49:46.4	8	226441	1258	1418	42
52:46.4	14	226621	1259	1327	29
55:46.4	12	226801	1260	1279	31
58:46.4	2	226981	1261	1262	366
01:46.4	2	227161	1262	1268	367
04:46.4	3	227341	1263	1266	172
07:46.4	18	227521	1264	1373	30
10:46.4	5	227701	1265	1287	79
13:46.4	3	227881	1266	1267	173
16:46.4	3	228061	1267	1278	174
19:46.4	2	228241	1268	1269	368
22:46.4	2	228421	1269	1274	369
25:46.4	4	228601	1270	1271	97
28:46.4	4	228781	1271	1280	98
31:46.4	6	228961	1272	1277	61
34:46.4	7	229141	1273	1296	53
37:46.4	2	229321	1274	1283	370
40:46.4	9	229501	1275	1293	30
43:46.4	16	229681	1276	1426	27
46:46.4	6	229861	1277	1345	62
49:46.4	3	230041	1278	1291	175
52:46.4	12	230221	1279	1282	32
55:46.4	4	230401	1280	1299	99
58:46.4	10	230581	1281	1329	49
01:46.4	12	230761	1282	1333	33
04:46.4	2	230941	1283	1284	371
07:46.4	2	231121	1284	1285	372
10:46.4	2	231301	1285	1286	373
13:46.4	2	231481	1286	1288	374
16:46.4	5	231661	1287	1316	80
19:46.4	2	231841	1288	1290	375
22:46.4	15	232021	1289	1313	39
25:46.4	2	232201	1290	1297	376
28:46.4	3	232381	1291	1292	176
31:46.4	3	232561	1292	1300	177
34:46.4	9	232741	1293	1399	31
37:46.4	13	232921	1294	1309	30
40:46.4	20	233101	1295	1369	26
43:46.4	7	233281	1296	1308	54
46:46.4	2	233461	1297	1298	377
49:46.4	2	233641	1298	1302	378
52:46.4	4	233821	1299	1312	100
55:46.4	3	234001	1300	1330	178
58:46.4	11	234181	1301	1305	38
01:46.4	2	234361	1302	1303	379
04:46.4	2	234541	1303	1304	380
07:46.4	2	234721	1304	1307	381
10:46.4	11	234901	1305	1331	39
13:46.4	17	235081	1306	1314	26
16:46.4	2	235261	1307	1310	382
19:46.4	7	235441	1308	1353	55
22:46.4	13	235621	1309	1322	31
25:46.4	2	235801	1310	1311	383
28:46.4	2	235981	1311	1315	384
31:46.4	4	236161	1312	1325	101
34:46.4	15	236341	1313	1317	40
37:46.4	17	236521	1314	1436	27
40:46.4	2	236701	1315	1319	385
43:46.4	5	236881	1316	1318	81
46:46.4	15	237061	1317	1372	41
49:46.4	5	237241	1318	1339	82
52:46.4	2	237421	1319	1321	386
55:46.4	1	237601	1320	1328	28
58:46.4	2	237781	1321	1323	387
01:46.4	13	237961	1322	1363	32
04:46.4	2	238141	1323	1324	388
07:46.4	2	238321	1324	1326	389
10:46.4	4	238501	1325	1335	102
13:46.4	2	238681	1326	1332	390
16:46.4	14	238861	1327	1346	30
19:46.4	1	239041	1328	1364	29
22:46.4	10	239221	1329	1371	50
25:46.4	3	239401	1330	1334	179
28:46.4	11	239581	1331	1342	40
31:46.4	2	239761	1332	1336	391
34:46.4	12	239941	1333	1360	34
37:46.4	3	240121	1334	1354	180
40:46.4	4	240301	1335	1341	103
43:46.4	2	240481	1336	1337	392
46:46.4	2	240661	1337	1338	393
49:46.4	2	240841	1338	1340	394
52:46.4	5	241021	1339	1343	83
55:46.4	2	241201	1340	1344	395
58:46.4	4	241381	1341	1411	104
01:46.4	11	241561	1342	1349	41
04:46.4	5	241741	1343	1409	84
07:46.4	2	241921	1344	1347	396
10:46.4	6	242101	1345	1348	63
13:46.4	14	242281	1346	1431	31
16:46.4	2	242461	1347	1351	397
19:46.4	6	242641	1348	1350	64
22:46.4	11	242821	1349	1387	42
25:46.4	6	243001	1350	1357	65
28:46.4	2	243181	1351	1352	398
31:46.4	2	243361	1352	1356	399
34:46.4	7	243541	1353	1382	56
37:46.4	3	243721	1354	1355	181
40:46.4	3	243901	1355	1358	182
43:46.4	2	244081	1356	1359	400
46:46.4	6	244261	1357	1368	66
49:46.4	3	244441	1358	1365	183
52:46.4	2	244621	1359	1361	401
55:46.4	12	244801	1360	1408	35
58:46.4	2	244981	1361	1362	402
01:46.4	2	245161	1362	1366	403
04:46.4	13	245341	1363	1410	33
07:46.4	1	245521	1364	1386	30
10:46.4	3	245701	1365	1367	184
13:46.4	2	245881	1366	1370	404
16:46.4	3	246061	1367	1374	185
19:46.4	6	246241	1368	1376	67
22:46.4	20	246421	1369	1400	27
25:46.4	2	246601	1370	1378	405
28:46.4	10	246781	1371	1381	51
31:46.4	15	246961	1372	1389	42
34:46.4	18	247141	1373	1395	31
37:46.4	3	247321	1374	1375	186
40:46.4	3	247501	1375	1390	187
43:46.4	6	247681	1376	1380	68
46:46.4	19	247861	1377	1397	25
49:46.4	2	248041	1378	1379	406
52:46.4	2	248221	1379	1383	407
55:46.4	6	248401	1380	1385	69
58:46.4	10	248581	1381	1404	52
01:46.4	7	248761	1382	1388	57
04:46.4	2	248941	1383	1384	408
07:46.4	2	249121	1384	1394	409
10:46.4	6	249301	1385	1401	70
13:46.4	1	249481	1386	1491	31
16:46.4	11	249661	1387	1553	43
19:46.4	7	249841	1388	1392	58
22:46.4	15	250021	1389	1396	43
25:46.4	3	250201	1390	1391	188
28:46.4	3	250381	1391	1393	189
31:46.4	7	250561	1392	1398	59
34:46.4	3	250741	1393	1413	190
37:46.4	2	250921	1394	1402	410
40:46.4	18	251101	1395	1546	32
43:46.4	15	251281	1396	1438	44
46:46.4	19	251461	1397	1439	26
49:46.4	7	251641	1398	1419	60
52:46.4	9	251821	1399	1469	32
55:46.4	20	252001	1400	1479	28
58:46.4	6	252181	1401	1437	71
01:46.4	2	252361	1402	1403	411
04:46.4	2	252541	1403	1405	412
07:46.4	10	252721	1404	1430	53
10:46.4	2	252901	1405	1406	413
13:46.4	2	253081	1406	1407	414
16:46.4	2	253261	1407	1414	415
19:46.4	12	253441	1408	1432	36
22:46.4	5	253621	1409	1421	85
25:46.4	13	253801	1410	1471	34
28:46.4	4	253981	1411	1412	105
31:46.4	4	254161	1412	1415	106
34:46.4	3	254341	1413	1417	191
37:46.4	2	254521	1414	1416	416
40:46.4	4	254701	1415	1424	107
43:46.4	2	254881	1416	1422	417
46:46.4	3	255061	1417	1427	192
49:46.4	8	255241	1418	1429	43
52:46.4	7	255421	1419	1420	61
55:46.4	7	255601	1420	1425	62
58:46.4	5	255781	1421	1444	86
01:46.4	2	255961	1422	1423	418
04:46.4	2	256141	1423	1428	419
07:46.4	4	256321	1424	1433	108
10:46.4	7	256501	1425	1442	63
13:46.4	16	256681	1426	1454	28
16:46.4	3	256861	1427	1440	193
19:46.4	2	257041	1428	1435	420
22:46.4	8	257221	1429	1472	44
25:46.4	10	257401	1430	1450	54
28:46.4	14	257581	1431	1458	32
31:46.4	12	257761	1432	1457	37
34:46.4	4	257941	1433	1434	109
37:46.4	4	258121	1434	1447	110
40:46.4	2	258301	1435	1441	421
43:46.4	17	258481	1436	1525	28
46:46.4	6	258661	1437	1445	72
49:46.4	15	258841	1438	1498	45
52:46.4	19	259021	1439	1461	27
55:46.4	3	259201	1440	1449	194
58:46.4	2	259381	1441	1443	422
01:46.4	7	259561	1442	1514	64
04:46.4	2	259741	1443	1446	423
07:46.4	5	259921	1444	1448	87
10:46.4	6	260101	1445	1466	73
13:46.4	2	260281	1446	1453	424
16:46.4	4	260461	1447	1464	111
19:46.4	5	260641	1448	1452	88
22:46.4	3	260821	1449	1451	195
25:46.4	10	261001	1450	1499	55
28:46.4	3	261181	1451	1455	196
31:46.4	5	261361	1452	1474	89
34:46.4	2	261541	1453	1456	425
37:46.4	16	261721	1454	1487	29
40:46.4	3	261901	1455	1460	197
43:46.4	2	262081	1456	1459	426
46:46.4	12	262261	1457	1468	38
49:46.4	14	262441	1458	1550	33
52:46.4	2	262621	1459	1462	427
55:46.4	3	262801	1460	1480	198
58:46.4	19	262981	1461	1463	28
01:46.4	2	263161	1462	1465	428
04:46.4	19	263341	1463	1539	29
07:46.4	4	263521	1464	1486	112
10:46.4	2	263701	1465	1467	429
13:46.4	6	263881	1466	1484	74
16:46.4	2	264061	1467	1470	430
19:46.4	12	264241	1468	1476	39
22:46.4	9	264421	1469	1547	33
25:46.4	2	264601	1470	1473	431
28:46.4	13	264781	1471	1485	35
31:46.4	8	264961	1472	1506	45
34:46.4	2	265141	1473	1475	432
37:46.4	5	265321	1474	1489	90
40:46.4	2	265501	1475	1477	433
43:46.4	12	265681	1476	1582	40
46:46.4	2	265861	1477	1478	434
49:46.4	2	266041	1478	1482	435
52:46.4	20	266221	1479	1535	29
55:46.4	3	266401	1480	1481	199
58:46.4	3	266581	1481	1483	200
01:46.4	2	266761	1482	1490	436
04:46.4	3	266941	1483	1492	201
07:46.4	6	267121	1484	1574	75
10:46.4	13	267301	1485	1488	36
13:46.4	4	267481	1486	1493	113
16:46.4	16	267661	1487	1517	30
19:46.4	13	267841	1488	1621	37
22:46.4	5	268021	1489	1513	91
25:46.4	2	268201	1490	1494	437
28:46.4	1	268381	1491	1601	32
31:46.4	3	268561	1492	1495	202
34:46.4	4	268741	1493	1504	114
37:46.4	2	268921	1494	1497	438
40:46.4	3	269101	1495	1496	203
43:46.4	3	269281	1496	1501	204
46:46.4	2	269461	1497	1500	439
49:46.4	15	269641	1498	1532	46
52:46.4	10	269821	1499	1516	56
55:46.4	2	270001	1500	1502	440
58:46.4	3	270181	1501	1505	205
01:46.4	2	270361	1502	1503	441
04:46.4	2	270541	1503	1507	442
07:46.4	4	270721	1504	1508	115
10:46.4	3	270901	1505	1509	206
13:46.4	8	271081	1506	1511	46
16:46.4	2	271261	1507	1518	443
19:46.4	4	271441	1508	1512	116
22:46.4	3	271621	1509	1510	207
25:46.4	3	271801	1510	1521	208
28:46.4	8	271981	1511	1519	47
31:46.4	4	272161	1512	1515	117
34:46.4	5	272341	1513	1522	92
37:46.4	7	272521	1514	1520	65
40:46.4	4	272701	1515	1530	118
43:46.4	10	272881	1516	1545	57
46:46.4	16	273061	1517	1555	31
49:46.4	2	273241	1518	1523	444
52:46.4	8	273421	1519	1527	48
55:46.4	7	273601	1520	1543	66
58:46.4	3	273781	1521	1528	209
01:46.4	5	273961	1522	1531	93
04:46.4	2	274141	1523	1524	445
07:46.4	2	274321	1524	1526	446
10:46.4	17	274501	1525	1529	29
13:46.4	2	274681	1526	1537	447
16:46.4	8	274861	1527	1542	49
19:46.4	3	275041	1528	1533	210
22:46.4	17	275221	1529	1534	30
25:46.4	4	275401	1530	1541	119
28:46.4	5	275581	1531	1536	94
31:46.4	15	275761	1532	1614	47
34:46.4	3	275941	1533	1548	211
37:46.4	17	276121	1534	1554	31
40:46.4	20	276301	1535	1600	30
43:46.4	5	276481	1536	1544	95
46:46.4	2	276661	1537	1538	448
49:46.4	2	276841	1538	1540	449
52:46.4	19	277021	1539	1559	30
55:46.4	2	277201	1540	1551	450
58:46.4	4	277381	1541	1560	120
01:46.4	8	277561	1542	1569	50
04:46.4	7	277741	1543	1566	67
07:46.4	5	277921	1544	1565	96
10:46.4	10	278101	1545	1549	58
13:46.4	18	278281	1546	1564	33
16:46.4	9	278461	1547	1592	34
19:46.4	3	278641	1548	1552	212
22:46.4	10	278821	1549	1573	59
25:46.4	14	279001	1550	1556	34
28:46.4	2	279181	1551	1557	451
31:46.4	3	279361	1552	1579	213
34:46.4	11	279541	1553	1563	44
37:46.4	17	279721	1554	1645	32
40:46.4	16	279901	1555	1561	32
43:46.4	14	280081	1556	1635	35
46:46.4	2	280261	1557	1558	452
49:46.4	2	280441	1558	1562	453
52:46.4	19	280621	1559	1575	31
55:46.4	4	280801	1560	1570	121
58:46.4	16	280981	1561	1608	33
01:46.4	2	281161	1562	1567	454
04:46.4	11	281341	1563	1578	45
07:46.4	18	281521	1564	1613	34
10:46.4	5	281701	1565	1588	97
13:46.4	7	281881	1566	1701	68
16:46.4	2	282061	1567	1568	455
19:46.4	2	282241	1568	1571	456
22:46.4	8	282421	1569	1587	51
25:46.4	4	282601	1570	1572	122
28:46.4	2	282781	1571	1576	457
31:46.4	4	282961	1572	1577	123
